iter	Passed	Remaining
0	62	62334
1	63	31458
2	63	21202
3	64	16030
4	64	12911
5	65	10849
6	66	9380
7	66	8278
8	67	7411
9	67	6712
10	68	6153
11	69	5683
12	69	5285
13	70	4953
14	70	4653
15	71	4401
16	72	4176
17	72	3972
18	73	3787
19	73	3620
20	74	3473
21	75	3338
22	75	3214
23	76	3100
24	76	3002
25	77	2912
26	78	2829
27	79	2749
28	79	2670
29	80	2596
30	80	2526
31	81	2462
32	81	2400
33	83	2363
34	83	2307
35	84	2253
36	84	2205
37	85	2159
38	85	2117
39	86	2077
40	87	2037
41	87	2000
42	88	1963
43	88	1929
44	89	1897
45	89	1865
46	90	1836
47	91	1808
48	91	1780
49	92	1754
50	92	1730
51	93	1706
52	94	1684
53	94	1661
54	95	1642
55	96	1620
56	96	1599
57	97	1582
58	97	1562
59	98	1545
60	99	1525
61	99	1510
62	100	1492
63	100	1475
64	101	1463
65	102	1448
66	102	1433
67	103	1417
68	104	1404
69	104	1391
70	105	1378
71	105	1365
72	106	1353
73	107	1340
74	107	1328
75	108	1316
76	108	1303
77	109	1294
78	110	1283
79	110	1272
80	111	1263
81	112	1254
82	112	1244
83	113	1234
84	113	1220
85	114	1212
86	114	1201
87	115	1192
88	115	1185
89	116	1179
90	117	1171
91	118	1165
92	118	1157
93	119	1149
94	119	1142
95	120	1135
96	121	1128
97	121	1120
98	122	1112
99	122	1106
100	123	1100
101	123	1090
102	124	1083
103	124	1076
104	125	1069
105	126	1063
106	126	1058
107	127	1053
108	128	1049
109	128	1042
110	129	1036
111	130	1031
112	130	1026
113	131	1021
114	131	1015
115	132	1009
116	133	1004
117	133	999
118	134	993
119	134	987
120	135	984
121	136	979
122	136	972
123	136	967
124	137	962
125	138	957
126	138	952
127	138	945
128	139	941
129	140	937
130	140	932
131	141	928
132	141	923
133	142	918
134	142	914
135	143	910
136	144	908
137	144	903
138	145	899
139	145	895
140	146	891
141	147	888
142	147	885
143	148	880
144	148	876
145	149	872
146	149	869
147	150	865
148	150	861
149	151	858
150	151	854
151	152	850
152	153	847
153	153	844
154	154	840
155	154	837
156	155	833
157	155	829
158	156	826
159	156	823
160	157	820
161	157	817
162	158	813
163	158	810
164	159	807
165	160	804
166	161	807
167	162	804
168	162	801
169	163	798
170	164	795
171	164	792
172	165	789
173	165	787
174	166	785
175	167	781
176	167	779
177	168	776
178	168	773
179	169	770
180	169	766
181	170	764
182	170	762
183	171	759
184	171	757
185	172	754
186	173	752
187	173	750
188	174	748
189	174	745
190	175	743
191	175	740
192	176	737
193	177	735
194	177	733
195	178	730
196	178	728
197	179	725
198	179	723
199	180	720
200	180	718
201	181	715
202	181	714
203	182	711
204	182	709
205	183	707
206	184	705
207	184	703
208	185	701
209	185	699
210	186	696
211	186	694
212	187	691
213	187	689
214	188	687
215	188	684
216	189	682
217	189	680
218	190	678
219	190	676
220	191	674
221	191	671
222	192	669
223	192	667
224	193	665
225	193	663
226	194	661
227	194	659
228	195	657
229	195	655
230	196	653
231	196	651
232	197	649
233	197	647
234	198	645
235	198	643
236	199	641
237	199	640
238	200	638
239	200	636
240	201	634
241	201	632
242	202	630
243	202	628
244	203	626
245	204	625
246	204	623
247	205	621
248	205	620
249	206	618
250	206	616
251	206	614
252	207	612
253	207	610
254	208	609
255	208	607
256	209	605
257	210	604
258	210	602
259	211	602
260	212	601
261	212	599
262	213	597
263	213	596
264	214	594
265	214	592
266	215	591
267	215	589
268	216	588
269	216	586
270	217	584
271	217	583
272	218	581
273	218	579
274	219	578
275	219	576
276	220	575
277	220	573
278	221	571
279	221	570
280	222	569
281	222	567
282	223	566
283	224	564
284	224	563
285	224	561
286	225	560
287	225	558
288	226	556
289	226	555
290	227	553
291	227	552
292	228	550
293	228	549
294	229	547
295	229	546
296	230	545
297	230	543
298	231	542
299	231	540
300	232	539
301	232	537
302	233	536
303	233	535
304	234	533
305	234	532
306	235	531
307	235	529
308	236	528
309	236	527
310	237	525
311	237	524
312	238	523
313	238	521
314	239	520
315	239	519
316	240	517
317	240	516
318	241	514
319	241	513
320	242	512
321	242	511
322	243	510
323	243	508
324	244	507
325	244	506
326	245	505
327	245	503
328	246	502
329	247	501
330	247	500
331	248	499
332	248	497
333	249	497
334	249	495
335	250	494
336	250	493
337	251	492
338	251	490
339	252	489
340	252	488
341	253	487
342	254	486
343	254	485
344	255	484
345	255	482
346	255	481
347	256	480
348	256	479
349	257	478
350	257	476
351	258	475
352	258	474
353	259	473
354	259	472
355	260	470
356	260	469
357	261	468
358	261	467
359	262	466
360	262	464
361	263	463
362	263	462
363	264	461
364	264	460
365	265	459
366	265	458
367	266	456
368	266	455
369	267	454
370	267	453
371	268	452
372	268	451
373	269	450
374	269	449
375	270	448
376	270	447
377	271	446
378	271	445
379	272	444
380	272	443
381	273	442
382	273	440
383	274	440
384	274	438
385	275	437
386	275	436
387	276	435
388	276	434
389	277	433
390	277	432
391	278	431
392	279	430
393	279	429
394	279	428
395	280	427
396	280	426
397	281	425
398	282	424
399	282	423
400	283	422
401	283	421
402	283	420
403	284	419
404	284	418
405	285	417
406	285	416
407	286	415
408	286	414
409	287	413
410	287	412
411	288	411
412	288	410
413	289	409
414	289	408
415	290	407
416	290	406
417	291	405
418	291	404
419	292	403
420	292	402
421	293	401
422	293	400
423	294	400
424	295	399
425	295	398
426	296	397
427	296	396
428	297	395
429	297	394
430	298	393
431	298	392
432	299	391
433	299	390
434	300	389
435	300	388
436	301	387
437	301	387
438	302	386
439	302	385
440	302	384
441	303	383
442	303	382
443	304	381
444	305	380
445	305	379
446	305	378
447	306	377
448	307	376
449	307	375
450	308	374
451	308	374
452	309	373
453	309	372
454	309	371
455	310	370
456	311	369
457	311	368
458	312	367
459	312	367
460	313	366
461	313	365
462	314	364
463	314	363
464	315	362
465	315	361
466	316	360
467	316	360
468	317	360
469	318	359
470	319	358
471	319	357
472	320	356
473	320	355
474	321	355
475	321	354
476	322	353
477	322	352
478	323	351
479	323	350
480	324	349
481	324	348
482	325	348
483	325	347
484	326	346
485	326	345
486	327	344
487	327	343
488	328	343
489	328	342
490	329	341
491	329	340
492	330	339
493	330	338
494	331	338
495	331	337
496	332	336
497	332	335
498	333	334
499	333	333
500	334	333
501	334	332
502	335	331
503	335	330
504	336	329
505	337	329
506	337	328
507	338	327
508	338	326
509	339	325
510	339	324
511	340	324
512	340	323
513	341	322
514	341	322
515	342	321
516	342	320
517	343	319
518	343	318
519	344	317
520	344	317
521	345	316
522	345	315
523	346	314
524	347	314
525	347	313
526	348	312
527	348	311
528	349	310
529	349	310
530	350	309
531	350	308
532	351	307
533	351	306
534	352	306
535	352	305
536	353	304
537	353	303
538	354	303
539	354	302
540	355	301
541	356	301
542	356	300
543	357	299
544	357	298
545	358	297
546	358	297
547	359	296
548	359	295
549	360	294
550	360	294
551	361	293
552	361	292
553	362	291
554	362	290
555	363	290
556	363	289
557	364	288
558	364	287
559	365	287
560	365	286
561	366	285
562	366	284
563	367	283
564	367	283
565	368	282
566	368	281
567	369	280
568	369	280
569	370	279
570	370	278
571	371	277
572	371	277
573	372	276
574	373	275
575	373	274
576	373	274
577	374	273
578	375	272
579	375	271
580	376	271
581	376	270
582	377	269
583	377	268
584	378	268
585	378	267
586	379	266
587	379	266
588	380	265
589	380	264
590	381	263
591	381	263
592	382	262
593	382	261
594	383	260
595	383	260
596	384	259
597	384	258
598	385	257
599	385	257
600	386	256
601	386	255
602	387	255
603	387	254
604	388	253
605	388	252
606	389	252
