iter	Passed	Remaining
0	55	55039
1	55	27715
2	55	18593
3	56	14063
4	56	11323
5	57	9484
6	57	8186
7	58	7222
8	58	6459
9	59	5869
10	59	5366
11	60	4947
12	60	4588
13	60	4278
14	61	4008
15	61	3781
16	61	3580
17	62	3404
18	62	3246
19	63	3107
20	63	2974
21	64	2861
22	64	2756
23	65	2657
24	65	2566
25	66	2475
26	66	2394
27	66	2317
28	67	2246
29	67	2184
30	68	2127
31	68	2067
32	68	2016
33	69	1971
34	69	1923
35	70	1878
36	70	1832
37	70	1794
38	71	1755
39	71	1724
40	72	1688
41	72	1657
42	73	1627
43	73	1601
44	74	1574
45	74	1552
46	75	1530
47	75	1505
48	76	1480
49	76	1455
50	77	1435
51	77	1411
52	77	1390
53	78	1370
54	78	1354
55	79	1335
56	79	1316
57	80	1299
58	80	1285
59	81	1270
60	81	1255
61	81	1239
62	82	1226
63	82	1212
64	83	1200
65	83	1185
66	84	1171
67	84	1158
68	84	1145
69	85	1135
70	85	1123
71	86	1112
72	86	1100
73	87	1092
74	88	1088
75	88	1079
76	89	1068
77	89	1059
78	89	1049
79	90	1042
80	90	1032
81	91	1022
82	91	1011
83	92	1003
84	92	995
85	92	986
86	93	978
87	93	969
88	94	962
89	94	954
90	94	947
91	95	938
92	95	932
93	95	924
94	96	918
95	96	911
96	97	904
97	97	897
98	97	890
99	98	884
100	98	878
101	99	872
102	99	866
103	99	861
104	100	855
105	100	849
106	101	844
107	101	838
108	101	832
109	102	828
110	103	827
111	103	823
112	104	818
113	104	814
114	105	809
115	105	804
116	105	798
117	106	792
118	106	786
119	106	783
120	107	779
121	107	774
122	108	771
123	108	766
124	108	762
125	109	758
126	109	754
127	110	749
128	110	745
129	111	743
130	111	739
131	111	735
132	112	732
133	112	728
134	113	724
135	113	720
136	113	718
137	114	714
138	114	711
139	115	709
140	115	706
141	116	702
142	116	700
143	117	696
144	117	693
145	117	690
146	118	687
147	119	685
148	119	682
149	119	679
150	120	677
151	120	674
152	121	672
153	121	668
154	121	664
155	122	662
156	122	658
157	123	655
158	123	654
159	124	651
160	124	647
161	124	646
162	125	644
163	125	642
164	126	638
165	126	637
166	127	634
167	127	632
168	128	630
169	128	628
170	129	625
171	129	623
172	129	621
173	130	619
174	130	616
175	131	614
176	131	611
177	131	608
178	132	605
179	132	602
180	132	600
181	132	597
182	133	594
183	133	591
184	133	588
185	134	586
186	134	585
187	135	584
188	135	582
189	136	579
190	136	577
191	136	575
192	137	573
193	137	570
194	137	569
195	138	567
196	138	566
197	139	563
198	139	561
199	140	560
200	140	558
201	141	557
202	142	558
203	142	557
204	143	555
205	143	553
206	143	551
207	144	550
208	144	548
209	145	546
210	145	544
211	146	543
212	146	541
213	146	539
214	147	537
215	147	535
216	147	533
217	148	534
218	149	532
219	149	531
220	150	529
221	151	529
222	151	528
223	152	526
224	152	525
225	152	523
226	153	523
227	153	521
228	154	519
229	154	517
230	154	515
231	155	514
232	156	514
233	156	512
234	156	510
235	157	509
236	157	507
237	157	505
238	158	504
239	158	502
240	159	501
241	159	499
242	159	498
243	160	496
244	160	495
245	161	493
246	161	492
247	162	491
248	162	490
249	162	488
250	163	487
251	163	486
252	164	485
253	164	484
254	165	482
255	165	480
256	165	479
257	166	477
258	166	476
259	166	474
260	167	473
261	167	472
262	168	471
263	168	469
264	168	468
265	169	467
266	169	466
267	170	464
268	170	463
269	171	462
270	171	461
271	171	460
272	172	458
273	172	457
274	173	456
275	174	456
276	174	455
277	174	454
278	175	453
279	175	451
280	176	450
281	176	450
282	177	449
283	177	447
284	178	446
285	178	445
286	179	444
287	179	443
288	179	442
289	180	441
290	180	440
291	180	438
292	181	437
293	181	436
294	182	436
295	182	435
296	183	435
297	184	433
298	184	432
299	184	431
300	185	429
301	185	429
302	186	428
303	186	427
304	186	426
305	187	425
306	187	424
307	188	422
308	188	421
309	188	420
310	189	420
311	190	419
312	190	418
313	190	416
314	191	415
315	191	414
316	191	412
317	191	411
318	192	410
319	192	409
320	193	408
321	193	407
322	193	406
323	194	405
324	194	404
325	194	403
326	195	402
327	195	401
328	196	399
329	196	398
330	196	397
331	197	396
332	197	396
333	198	395
334	198	394
335	199	393
336	199	392
337	199	391
338	200	390
339	200	390
340	201	389
341	201	388
342	202	387
343	202	386
344	202	385
345	203	384
346	203	383
347	204	382
348	204	381
349	205	381
350	205	380
351	205	379
352	206	378
353	206	377
354	207	376
355	207	375
356	208	375
357	208	374
358	208	373
359	209	372
360	209	371
361	210	370
362	210	369
363	211	368
364	211	367
365	211	366
366	211	365
367	212	364
368	212	363
369	213	362
370	213	362
371	214	361
372	214	360
373	214	359
374	215	358
375	215	357
376	215	356
377	216	355
378	216	354
379	216	353
380	217	353
381	217	352
382	218	351
383	218	350
384	219	350
385	219	349
386	219	348
387	220	347
388	220	346
389	220	345
390	221	344
391	221	343
392	221	342
393	222	341
394	222	341
395	223	340
396	223	339
397	223	338
398	224	338
399	224	337
400	225	336
401	225	335
402	225	334
403	226	333
404	226	332
405	226	332
406	227	331
407	227	330
408	228	329
409	228	328
410	228	328
411	229	327
412	229	326
413	230	325
414	230	325
415	230	324
416	231	323
417	231	322
418	232	321
419	232	321
420	232	320
421	233	319
422	233	318
423	233	317
424	234	316
425	234	316
426	234	315
427	235	314
428	236	314
429	236	313
430	237	313
431	237	312
432	237	311
433	238	310
434	238	310
435	239	309
436	239	308
437	240	308
438	240	307
439	241	306
440	241	306
441	241	305
442	242	304
443	242	303
444	243	303
445	243	302
446	243	301
447	244	300
448	244	300
449	245	299
450	245	298
451	246	298
452	246	297
453	246	296
454	247	296
455	247	295
456	248	294
457	248	294
458	249	293
459	249	292
460	249	292
461	250	291
462	250	290
463	251	290
464	251	289
465	252	289
466	252	288
467	253	287
468	253	287
469	253	286
470	254	285
471	254	284
472	254	284
473	255	283
474	256	283
475	256	282
476	256	281
477	257	280
478	257	280
479	258	279
480	258	278
481	258	278
482	259	277
483	259	276
484	260	276
485	260	275
486	260	274
487	261	274
488	261	273
489	262	272
490	262	272
491	262	271
492	263	270
493	263	270
494	264	269
495	264	268
496	264	268
497	265	267
498	265	266
499	266	266
500	266	265
501	266	264
502	267	264
503	267	263
504	267	262
505	268	261
506	268	261
507	268	260
508	269	259
509	269	259
510	269	258
511	270	257
512	270	257
513	271	256
514	271	255
515	271	254
516	272	254
517	272	253
518	272	252
519	273	252
520	273	251
521	274	251
522	274	250
523	274	249
524	275	249
525	275	248
526	276	247
527	276	247
528	276	246
529	277	245
530	277	245
531	277	244
532	278	243
533	278	243
534	278	242
535	279	241
536	279	241
537	280	240
538	280	239
539	280	239
540	281	238
541	281	238
542	282	237
543	282	236
544	282	236
545	283	235
546	283	234
547	283	234
